metric,mean,median,std,min,max
TE(A->S),0.05472522535873447,0.048793269068827305,0.03340783916445541,0.0044967204605941,0.2059879904778679
TE(S->A),0.12958905569912205,0.12210404192362384,0.055590585529953815,0.014162479005905,0.319323145618709
Delta_TE,-0.07486383034038753,-0.07058162963072054,0.03027429233620127,-0.1455990789958716,-0.0096657585453108
CTE(A->S|H_bin),0.012606975753109246,0.011460118087164,0.006474200086633299,0.0014991151314693,0.037716648227058
CTE(S->A|H_bin),0.0829110388705871,0.07965569644808565,0.026904625378272408,0.0108380105205263,0.1511668788326058
Delta_CTE_bin,-0.07030406311747782,-0.06852068200860255,0.024328452292422822,-0.1258284683465652,-0.0093388953890569
