user_id,k,l,tau,CTE_A2S_H,CTE_S2A_H,Delta_CTE,p_A2S_H,p_S2A_H,n_samples,n_samples_per_bin_min,low_n
00EABED2-271D-49D8-B599-1D4A09240601,1,1,1,0.015138981932525372,0.06501213262830385,-0.04987315069577848,0.33966033966033965,0.4095904095904096,2115,240,False
00EABED2-271D-49D8-B599-1D4A09240601,2,2,1,0.02428065808069774,0.08392338317424397,-0.059642725093546234,0.5384615384615384,0.07592407592407592,2114,240,False
00EABED2-271D-49D8-B599-1D4A09240601,3,3,1,0.041135587419286045,0.07199937745066379,-0.030863790031377743,0.03396603396603397,0.3246753246753247,2113,240,False
00EABED2-271D-49D8-B599-1D4A09240601,4,4,1,0.04660602287029299,0.062008108242648,-0.01540208537235501,0.053946053946053944,0.5074925074925075,2112,240,False
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,1,1,1,0.011440914330757508,0.03368427444065051,-0.022243360109893,0.000999000999000999,0.7632367632367633,5467,744,False
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,2,2,1,0.022711119826039825,0.07070817570855194,-0.047997055882512116,0.003996003996003996,0.7652347652347652,5466,744,False
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,3,3,1,0.03175617570541049,0.09021432306305492,-0.05845814735764443,0.03496503496503497,0.9500499500499501,5465,744,False
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,4,4,1,0.038888439441756344,0.085328877940193,-0.04644043849843666,0.15184815184815184,0.999000999000999,5464,744,False
0A986513-7828-4D53-AA1F-E02D6DF9561B,1,1,1,0.012761024268589662,0.04128967655728027,-0.028528652288690608,0.014985014985014986,0.3676323676323676,3876,477,False
0A986513-7828-4D53-AA1F-E02D6DF9561B,2,2,1,0.03293563974066712,0.0704348788625892,-0.03749923912192208,0.001998001998001998,0.4245754245754246,3875,477,False
0A986513-7828-4D53-AA1F-E02D6DF9561B,3,3,1,0.04476458862043694,0.08022428280919064,-0.0354596941887537,0.001998001998001998,0.6073926073926074,3874,477,False
0A986513-7828-4D53-AA1F-E02D6DF9561B,4,4,1,0.0590174232575646,0.08324608309320214,-0.024228659835637538,0.000999000999000999,0.37362637362637363,3873,477,False
0BFC35E2-4817-4865-BFA7-764742302A2D,1,1,1,0.02653939295097746,0.10850530989616988,-0.08196591694519242,0.002997002997002997,0.001998001998001998,2012,0,False
0BFC35E2-4817-4865-BFA7-764742302A2D,2,2,1,0.0766963045513285,0.2082436707671221,-0.1315473662157936,0.003996003996003996,0.004995004995004995,2011,0,False
0BFC35E2-4817-4865-BFA7-764742302A2D,3,3,1,0.1339649761450566,0.23625181195471553,-0.10228683580965894,0.002997002997002997,0.3786213786213786,2010,0,False
0BFC35E2-4817-4865-BFA7-764742302A2D,4,4,1,0.17046753495612701,0.175891372551575,-0.005423837595447983,0.001998001998001998,1.0,2009,0,False
0E6184E1-90C0-48EE-B25A-F1ECB7B9714E,1,1,1,0.01403544003694313,0.029493343328813745,-0.015457903291870615,0.000999000999000999,0.26873126873126874,6798,938,False
0E6184E1-90C0-48EE-B25A-F1ECB7B9714E,2,2,1,0.0308977698944261,0.07573281736134184,-0.04483504746691574,0.000999000999000999,0.03496503496503497,6797,938,False
0E6184E1-90C0-48EE-B25A-F1ECB7B9714E,3,3,1,0.05799916888162872,0.11854802784199248,-0.06054885896036376,0.001998001998001998,0.12487512487512488,6796,938,False
0E6184E1-90C0-48EE-B25A-F1ECB7B9714E,4,4,1,0.0790508093173982,0.12627313942225651,-0.04722233010485831,0.001998001998001998,0.5234765234765235,6795,938,False
1155FF54-63D3-4AB2-9863-8385D0BD0A13,1,1,1,0.019683903385809026,0.04851564392983479,-0.028831740544025763,0.014985014985014986,0.5664335664335665,2505,220,False
1155FF54-63D3-4AB2-9863-8385D0BD0A13,2,2,1,0.0908236629077778,0.18659102376868336,-0.09576736086090556,0.002997002997002997,0.6373626373626373,2504,220,False
1155FF54-63D3-4AB2-9863-8385D0BD0A13,3,3,1,0.18478611731024921,0.24642396785463752,-0.061637850544388306,0.000999000999000999,0.9590409590409591,2503,220,False
1155FF54-63D3-4AB2-9863-8385D0BD0A13,4,4,1,0.22475124247416547,0.20839149185873582,0.016359750615429658,0.001998001998001998,1.0,2502,220,False
11B5EC4D-4133-4289-B475-4E737182A406,1,1,1,0.006680069789866685,0.04208143052597458,-0.0354013607361079,0.11988011988011989,0.7392607392607392,5491,501,False
11B5EC4D-4133-4289-B475-4E737182A406,2,2,1,0.022933569553206818,0.06960875320995588,-0.04667518365674907,0.008991008991008992,0.6813186813186813,5490,501,False
11B5EC4D-4133-4289-B475-4E737182A406,3,3,1,0.03506314342311314,0.09585288347616122,-0.06078974005304808,0.030969030969030968,0.6173826173826173,5489,501,False
11B5EC4D-4133-4289-B475-4E737182A406,4,4,1,0.044304427267232216,0.08509109850659517,-0.04078667123936296,0.061938061938061936,0.8661338661338661,5488,501,False
136562B6-95B2-483D-88DC-065F28409FD2,1,1,1,0.012014214123693976,0.0290220468036539,-0.017007832679959922,0.000999000999000999,0.2517482517482518,5946,720,False
136562B6-95B2-483D-88DC-065F28409FD2,2,2,1,0.0340435757699034,0.07617986983733872,-0.042136294067435326,0.000999000999000999,0.10589410589410589,5945,720,False
136562B6-95B2-483D-88DC-065F28409FD2,3,3,1,0.05544592544416698,0.12717415837370802,-0.07172823292954103,0.001998001998001998,0.058941058941058944,5944,720,False
136562B6-95B2-483D-88DC-065F28409FD2,4,4,1,0.0721682818144404,0.13686277967577937,-0.06469449786133896,0.001998001998001998,0.43456543456543456,5943,720,False
1538C99F-BA1E-4EFB-A949-6C7C47701B20,1,1,1,0.008525742345772455,0.028388048097552444,-0.01986230575177999,0.014985014985014986,0.07392607392607392,6422,929,False
1538C99F-BA1E-4EFB-A949-6C7C47701B20,2,2,1,0.024531841822340784,0.053996023366438425,-0.02946418154409764,0.000999000999000999,0.000999000999000999,6421,929,False
1538C99F-BA1E-4EFB-A949-6C7C47701B20,3,3,1,0.037572915089076044,0.07667706613309833,-0.03910415104402228,0.000999000999000999,0.023976023976023976,6420,929,False
1538C99F-BA1E-4EFB-A949-6C7C47701B20,4,4,1,0.04534966354585154,0.09070817610564266,-0.04535851255979112,0.000999000999000999,0.15484515484515485,6419,929,False
