user_id,k,l,tau,TE_A2S,TE_S2A,Delta_TE,p_A2S,p_S2A,n_samples,low_n
00EABED2-271D-49D8-B599-1D4A09240601,1,1,1,0.010540474941051935,0.017635831569858196,-0.007095356628806261,0.05194805194805195,0.6073926073926074,2115,False
00EABED2-271D-49D8-B599-1D4A09240601,2,2,1,0.019816445192980085,0.05078815998082194,-0.03097171478784185,0.05094905094905095,0.1028971028971029,2114,False
00EABED2-271D-49D8-B599-1D4A09240601,3,3,1,0.03716869480934709,0.07275221741089936,-0.03558352260155227,0.002997002997002997,0.028971028971028972,2113,False
00EABED2-271D-49D8-B599-1D4A09240601,4,4,1,0.046754187765790184,0.08074588974915847,-0.03399170198336829,0.012987012987012988,0.15284715284715283,2112,False
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,1,1,1,0.01076162021190552,0.02465746372296214,-0.013895843511056619,0.000999000999000999,0.000999000999000999,5467,False
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,2,2,1,0.017657002202016856,0.040234391581776593,-0.022577389379759737,0.000999000999000999,0.005994005994005994,5466,False
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,3,3,1,0.025112384148648165,0.07753651794705449,-0.052424133798406325,0.000999000999000999,0.21178821178821178,5465,False
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,4,4,1,0.0328344486047671,0.10984746199766486,-0.07701301339289776,0.014985014985014986,0.5044955044955045,5464,False
0A986513-7828-4D53-AA1F-E02D6DF9561B,1,1,1,0.010694707445456055,0.04037784967094142,-0.029683142225485366,0.002997002997002997,0.004995004995004995,3876,False
0A986513-7828-4D53-AA1F-E02D6DF9561B,2,2,1,0.02547090169605226,0.06433496138229114,-0.03886405968623888,0.001998001998001998,0.001998001998001998,3875,False
0A986513-7828-4D53-AA1F-E02D6DF9561B,3,3,1,0.03878872504428057,0.08921607405537021,-0.050427349011089646,0.001998001998001998,0.14385614385614387,3874,False
0A986513-7828-4D53-AA1F-E02D6DF9561B,4,4,1,0.05330494717065401,0.1005706406616665,-0.04726569349101249,0.001998001998001998,0.8661338661338661,3873,False
0BFC35E2-4817-4865-BFA7-764742302A2D,1,1,1,0.009615759139031298,0.07458110175088437,-0.06496534261185306,0.004995004995004995,0.001998001998001998,2012,False
0BFC35E2-4817-4865-BFA7-764742302A2D,2,2,1,0.04823664618145265,0.14538960634772596,-0.09715296016627331,0.004995004995004995,0.003996003996003996,2011,False
0BFC35E2-4817-4865-BFA7-764742302A2D,3,3,1,0.10455126258264927,0.25279685848446687,-0.1482455959018176,0.002997002997002997,0.001998001998001998,2010,False
0BFC35E2-4817-4865-BFA7-764742302A2D,4,4,1,0.15289534304803837,0.24958127964306456,-0.0966859365950262,0.001998001998001998,0.2967032967032967,2009,False
0E6184E1-90C0-48EE-B25A-F1ECB7B9714E,1,1,1,0.009143175158184032,0.01511240208970465,-0.005969226931520619,0.000999000999000999,0.028971028971028972,6798,False
0E6184E1-90C0-48EE-B25A-F1ECB7B9714E,2,2,1,0.019572470031933627,0.039596307352464694,-0.020023837320531066,0.000999000999000999,0.004995004995004995,6797,False
0E6184E1-90C0-48EE-B25A-F1ECB7B9714E,3,3,1,0.03733486477690355,0.09238696873775049,-0.055052103960846935,0.001998001998001998,0.000999000999000999,6796,False
0E6184E1-90C0-48EE-B25A-F1ECB7B9714E,4,4,1,0.060339942116225675,0.1409308299356415,-0.08059088781941581,0.001998001998001998,0.000999000999000999,6795,False
1155FF54-63D3-4AB2-9863-8385D0BD0A13,1,1,1,0.01455915839989173,0.020216294638444245,-0.005657136238552515,0.000999000999000999,0.016983016983016984,2505,False
1155FF54-63D3-4AB2-9863-8385D0BD0A13,2,2,1,0.04868393417557147,0.10183628070247132,-0.053152346526899846,0.001998001998001998,0.001998001998001998,2504,False
1155FF54-63D3-4AB2-9863-8385D0BD0A13,3,3,1,0.13403874168434884,0.26106287901807695,-0.1270241373337281,0.000999000999000999,0.002997002997002997,2503,False
1155FF54-63D3-4AB2-9863-8385D0BD0A13,4,4,1,0.2172368603544776,0.3349955792382918,-0.11775871888381423,0.001998001998001998,0.007992007992007992,2502,False
11B5EC4D-4133-4289-B475-4E737182A406,1,1,1,0.008336975435314005,0.04557820603654147,-0.037241230601227464,0.000999000999000999,0.000999000999000999,5491,False
11B5EC4D-4133-4289-B475-4E737182A406,2,2,1,0.015678584158599605,0.058119970568749464,-0.042441386410149856,0.001998001998001998,0.000999000999000999,5490,False
11B5EC4D-4133-4289-B475-4E737182A406,3,3,1,0.028372396531155135,0.10659027766023682,-0.07821788112908168,0.000999000999000999,0.004995004995004995,5489,False
11B5EC4D-4133-4289-B475-4E737182A406,4,4,1,0.03839516968235721,0.12505164843409744,-0.08665647875174023,0.002997002997002997,0.01098901098901099,5488,False
136562B6-95B2-483D-88DC-065F28409FD2,1,1,1,0.008959476046671024,0.0224165862665091,-0.013457110219838074,0.000999000999000999,0.01898101898101898,5946,False
136562B6-95B2-483D-88DC-065F28409FD2,2,2,1,0.018601129941582167,0.03920615154950846,-0.020605021607926294,0.001998001998001998,0.001998001998001998,5945,False
136562B6-95B2-483D-88DC-065F28409FD2,3,3,1,0.03618326087804316,0.09176538353451602,-0.05558212265647286,0.001998001998001998,0.004995004995004995,5944,False
136562B6-95B2-483D-88DC-065F28409FD2,4,4,1,0.056406873260481334,0.14660806700321843,-0.0902011937427371,0.001998001998001998,0.000999000999000999,5943,False
1538C99F-BA1E-4EFB-A949-6C7C47701B20,1,1,1,0.007097419448733821,0.01343831228609104,-0.00634089283735722,0.000999000999000999,0.025974025974025976,6422,False
1538C99F-BA1E-4EFB-A949-6C7C47701B20,2,2,1,0.01597517692638763,0.02630887815295772,-0.01033370122657009,0.000999000999000999,0.006993006993006993,6421,False
1538C99F-BA1E-4EFB-A949-6C7C47701B20,3,3,1,0.029766035112839907,0.05198170955257415,-0.02221567443973424,0.000999000999000999,0.002997002997002997,6420,False
1538C99F-BA1E-4EFB-A949-6C7C47701B20,4,4,1,0.03782718027448636,0.07570106150260128,-0.03787388122811492,0.000999000999000999,0.004995004995004995,6419,False
1DBB0F6F-1F81-4A50-9DF4-CD62ACFA4842,1,1,1,0.00181831426278321,0.010088686234345038,-0.008270371971561828,0.04295704295704296,0.005994005994005994,6579,False
1DBB0F6F-1F81-4A50-9DF4-CD62ACFA4842,2,2,1,0.00809308245011864,0.02881016783735621,-0.02071708538723757,0.17382617382617382,0.026973026973026972,6578,False
1DBB0F6F-1F81-4A50-9DF4-CD62ACFA4842,3,3,1,0.023356185908631706,0.0857914459536829,-0.0624352600450512,0.01098901098901099,0.030969030969030968,6577,False
1DBB0F6F-1F81-4A50-9DF4-CD62ACFA4842,4,4,1,0.04361160829576048,0.12081300084503077,-0.07720139254927029,0.001998001998001998,0.07592407592407592,6576,False
24E40C4C-A349-4F9F-93AB-01D00FB994AF,1,1,1,0.0037749108154066587,0.02248709172991411,-0.01871218091450745,0.06293706293706294,0.001998001998001998,3223,False
24E40C4C-A349-4F9F-93AB-01D00FB994AF,2,2,1,0.02224857091175768,0.07566297363119096,-0.05341440271943328,0.022977022977022976,0.002997002997002997,3222,False
24E40C4C-A349-4F9F-93AB-01D00FB994AF,3,3,1,0.06026744562636084,0.20018115529283514,-0.13991370966647432,0.002997002997002997,0.000999000999000999,3221,False
24E40C4C-A349-4F9F-93AB-01D00FB994AF,4,4,1,0.09929752165203946,0.24654363122958828,-0.1472461095775488,0.001998001998001998,0.013986013986013986,3220,False
27E04243-B138-4F40-A164-F40B60165CF3,1,1,1,0.004325455571690083,0.02538456429222417,-0.021059108720534087,0.15884115884115885,0.07592407592407592,2641,False
27E04243-B138-4F40-A164-F40B60165CF3,2,2,1,0.014342883013021517,0.049499373785070716,-0.0351564907720492,0.11188811188811189,0.02197802197802198,2640,False
27E04243-B138-4F40-A164-F40B60165CF3,3,3,1,0.026597220852876108,0.08404275385853167,-0.057445533005655566,0.03896103896103896,0.002997002997002997,2639,False
27E04243-B138-4F40-A164-F40B60165CF3,4,4,1,0.03588311545197312,0.10243159459200635,-0.06654847914003323,0.02197802197802198,0.003996003996003996,2638,False
2C32C23E-E30C-498A-8DD2-0EFB9150A02E,1,1,1,0.01585081018951243,0.034586460952618824,-0.018735650763106394,0.000999000999000999,0.002997002997002997,6593,False
2C32C23E-E30C-498A-8DD2-0EFB9150A02E,2,2,1,0.025923750992957396,0.049636596236243474,-0.02371284524328608,0.000999000999000999,0.004995004995004995,6592,False
2C32C23E-E30C-498A-8DD2-0EFB9150A02E,3,3,1,0.0522467704597457,0.13977747954196512,-0.08753070908221942,0.001998001998001998,0.014985014985014986,6591,False
2C32C23E-E30C-498A-8DD2-0EFB9150A02E,4,4,1,0.08487048347419908,0.2162234116917508,-0.13135292821755173,0.001998001998001998,0.022977022977022976,6590,False
33A85C34-CFE4-4732-9E73-0A7AC861B27A,1,1,1,0.007324172979691715,0.020054792661095777,-0.012730619681404062,0.000999000999000999,0.007992007992007992,4691,False
33A85C34-CFE4-4732-9E73-0A7AC861B27A,2,2,1,0.022489136497693477,0.05905871644694654,-0.03656957994925306,0.000999000999000999,0.000999000999000999,4690,False
33A85C34-CFE4-4732-9E73-0A7AC861B27A,3,3,1,0.04167285645678111,0.1213667343596658,-0.0796938779028847,0.002997002997002997,0.000999000999000999,4689,False
33A85C34-CFE4-4732-9E73-0A7AC861B27A,4,4,1,0.0635723932553048,0.148848366545673,-0.08527597329036819,0.001998001998001998,0.001998001998001998,4688,False
