k,n,mean,sd,se,ci95_lower,ci95_upper
1,60,-0.019079521829392466,0.012991915561914336,0.001677249086887573,-0.02236693003969211,-0.015792113619092822
2,60,-0.034736588502493976,0.017723622448239808,0.00228810981921669,-0.03922128374815869,-0.03025189325682926
3,60,-0.06966810586729856,0.033449874531363076,0.004318360233089894,-0.07813209192415475,-0.06120411981044237
4,60,-0.07864376724074709,0.032853743791063844,0.004241400085445187,-0.08695691140821965,-0.07033062307327453
