k,n,mean,sd,se,ci95_lower,ci95_upper
1,60,-0.033275970992522004,0.013861276748044835,0.0017894831334116582,-0.03678335793400885,-0.029768584051035156
2,60,-0.059168353942630425,0.026530110869312302,0.0034250225856627637,-0.06588139821052943,-0.05245530967473141
3,60,-0.06373845428117136,0.02982332385564901,0.003850174554049299,-0.07128479640710798,-0.05619211215523474
4,60,-0.04028900862919072,0.031419306428056126,0.004056215018174967,-0.048239190064813656,-0.03233882719356779
