user_id,feature_mode,k,l,tau,hour_bins,CTE_true_A2S,CTE_true_S2A,Delta_CTE_true,p_A2S,p_S2A,q_A2S,q_S2A,p_Delta_CTE_true,q_Delta_CTE_true,n_samples,n_samples_per_bin_min,low_n,low_n_hours,bins_filtered,quality_passed
00EABED2-271D-49D8-B599-1D4A09240601,composite,6,6,1,6,0.015604251683705,0.032914296278818,-0.0173100445951129,0.789,0.997,0.789,1.0,1.9073486328125e-06,1.9073486328125e-06,2287,240,False,[],0,True
00EABED2-271D-49D8-B599-1D4A09240601,composite,6,6,2,6,0.0108849609058182,0.0289992802806546,-0.0181143193748364,1.0,1.0,1.0,1.0,1.9073486328125e-06,1.9073486328125e-06,2287,240,False,[],0,True
11B5EC4D-4133-4289-B475-4E737182A406,composite,1,1,1,6,0.0104676972844165,0.0325870369152834,-0.0221193396308669,0.0,0.0,0.0,0.0,1.9073486328125e-06,1.9073486328125e-06,8845,1360,False,[],0,True
11B5EC4D-4133-4289-B475-4E737182A406,composite,1,1,2,6,0.0057392287764213,0.0288495517536714,-0.0231103229772501,0.003,0.0,0.015,0.0,1.9073486328125e-06,1.9073486328125e-06,8845,1360,False,[],0,True
2C32C23E-E30C-498A-8DD2-0EFB9150A02E,composite,6,6,1,6,0.0212633198661158,0.0834007909533167,-0.0621374710872008,0.002,0.736,0.004,1.0,1.9073486328125e-06,1.9073486328125e-06,8516,1062,False,[],0,True
2C32C23E-E30C-498A-8DD2-0EFB9150A02E,composite,6,6,2,6,0.0171797761319345,0.0825230159103184,-0.0653432397783838,0.66,0.807,0.942857142857143,1.0,1.9073486328125e-06,1.9073486328125e-06,8516,1062,False,[],0,True
4FC32141-E888-4BFF-8804-12559A491D8C,composite,6,6,1,6,0.0177322679357135,0.0486848338743846,-0.0309525659386711,0.497,0.0576,0.5522222222222222,0.144,1.9073486328125e-06,1.9073486328125e-06,4979,662,False,[],0,True
4FC32141-E888-4BFF-8804-12559A491D8C,composite,6,6,2,6,0.0155123771675415,0.045095072946802,-0.0295826957792604,0.903,0.318,1.0,0.636,1.9073486328125e-06,1.9073486328125e-06,4979,662,False,[],0,True
61359772-D8D8-480D-B623-7C636EAD0C81,composite,6,6,1,6,0.0120335774776412,0.0569333374981133,-0.0448997600204721,0.0223,1.0,0.0318571428571428,1.0,1.9073486328125e-06,1.9073486328125e-06,6072,529,False,[],0,True
61359772-D8D8-480D-B623-7C636EAD0C81,composite,6,6,2,6,0.0110165288280699,0.0574897021419962,-0.0464731733139262,0.1133,1.0,0.2266,1.0,1.9073486328125e-06,1.9073486328125e-06,6072,529,False,[],0,True
7CE37510-56D0-4120-A1CF-0E23351428D2,composite,1,1,1,6,0.0204848237470777,0.0251636038654249,-0.0046787801183472,0.0,0.0,0.0,0.0,1.9073486328125e-06,1.9073486328125e-06,9760,1480,False,[],0,True
7CE37510-56D0-4120-A1CF-0E23351428D2,composite,1,1,2,6,0.0117051072153933,0.0193827477895508,-0.0076776405741575,0.0,0.0,0.0,0.0,1.9073486328125e-06,1.9073486328125e-06,9760,1480,False,[],0,True
86A4F379-B305-473D-9D83-FC7D800180EF,composite,1,1,1,6,0.0023976972976368,0.0065429767121404,-0.0041452794145036,0.315,0.0726,0.39375,0.1452,1.9073486328125e-06,1.9073486328125e-06,10716,1613,False,[],0,True
86A4F379-B305-473D-9D83-FC7D800180EF,composite,1,1,2,6,0.0022517467605304,0.0064087244744739,-0.0041569777139434,0.46,0.0965,0.7666666666666667,0.24125,1.9073486328125e-06,1.9073486328125e-06,10716,1613,False,[],0,True
A5CDF89D-02A2-4EC1-89F8-F534FDABDD96,composite,6,6,1,6,0.0152172651165825,0.0945008246008856,-0.079283559484303,0.003,1.0,0.005,1.0,1.9073486328125e-06,1.9073486328125e-06,6040,269,False,[],0,True
A5CDF89D-02A2-4EC1-89F8-F534FDABDD96,composite,6,6,2,6,0.007811989652158,0.0917074024284009,-0.0838954127762428,0.998,1.0,1.0,1.0,1.9073486328125e-06,1.9073486328125e-06,6040,269,False,[],0,True
BE3CA5A6-A561-4BBD-B7C9-5DF6805400FC,composite,1,1,1,6,0.0097059345230284,0.0378594070889987,-0.0281534725659703,0.0,0.0,0.0,0.0,1.9073486328125e-06,1.9073486328125e-06,8309,1265,False,[],0,True
BE3CA5A6-A561-4BBD-B7C9-5DF6805400FC,composite,1,1,2,6,0.0068973300069151,0.0361605680493355,-0.0292632380424204,0.01,0.0,0.0249999999999999,0.0,1.9073486328125e-06,1.9073486328125e-06,8309,1265,False,[],0,True
CF722AA9-2533-4E51-9FEB-9EAC84EE9AAC,composite,6,6,1,6,0.0208396403211742,0.0521306665133584,-0.0312910261921841,0.002,0.95,0.004,1.0,1.9073486328125e-06,1.9073486328125e-06,3615,0,False,[3],1,True
CF722AA9-2533-4E51-9FEB-9EAC84EE9AAC,composite,6,6,2,6,0.0197755397814274,0.049562453997603,-0.0297869142161756,0.006,0.987,0.02,1.0,1.9073486328125e-06,1.9073486328125e-06,3615,0,False,[3],1,True
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,composite,6,6,1,6,0.0100606678307868,0.0557598679536424,-0.0456992001228555,0.0,0.708,0.0,1.0,1.9073486328125e-06,1.9073486328125e-06,6808,945,False,[],0,True
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,composite,6,6,2,6,0.0062203015445539,0.055041952977728,-0.0488216514331741,0.495,0.82,0.8966666666666667,1.0,1.9073486328125e-06,1.9073486328125e-06,6808,945,False,[],0,True
136562B6-95B2-483D-88DC-065F28409FD2,composite,6,6,1,6,0.0196231184299935,0.061649337406204,-0.0420262189762105,0.0,1.0,0.0,1.0,1.9073486328125e-06,1.9073486328125e-06,6218,720,False,[],0,True
136562B6-95B2-483D-88DC-065F28409FD2,composite,6,6,2,6,0.0132296846768906,0.0617629945780485,-0.0485333099011578,0.807,1.0,0.8966666666666667,1.0,1.9073486328125e-06,1.9073486328125e-06,6218,720,False,[],0,True
33A85C34-CFE4-4732-9E73-0A7AC861B27A,composite,6,6,1,6,0.0171791984379557,0.0637140381142103,-0.0465348396762545,0.1855,1.0,0.2288888888888888,1.0,1.9073486328125e-06,1.9073486328125e-06,6164,712,False,[],0,True
33A85C34-CFE4-4732-9E73-0A7AC861B27A,composite,6,6,2,6,0.0148176367173947,0.0627132980500497,-0.047895661332655,0.779,1.0,0.8966666666666667,1.0,1.9073486328125e-06,1.9073486328125e-06,6164,712,False,[],0,True
5119D0F8-FCA8-4184-A4EB-19421A40DE0D,composite,6,6,1,6,0.0171215153036968,0.0534516035245735,-0.0363300882208767,0.206,1.0,0.2288888888888888,1.0,1.9073486328125e-06,1.9073486328125e-06,6617,543,False,[],0,True
5119D0F8-FCA8-4184-A4EB-19421A40DE0D,composite,6,6,2,6,0.0132669399651615,0.054573133210175,-0.0413061932450135,0.984,1.0,0.984,1.0,1.9073486328125e-06,1.9073486328125e-06,6617,543,False,[],0,True
61976C24-1C50-4355-9C49-AAE44A7D09F6,composite,6,6,1,6,0.0101819740185008,0.0534214424650606,-0.0432394684465597,0.019,0.856,0.0316666666666666,1.0,1.9073486328125e-06,1.9073486328125e-06,8730,960,False,[],0,True
61976C24-1C50-4355-9C49-AAE44A7D09F6,composite,6,6,2,6,0.0081391609592721,0.0512191625574634,-0.0430800015981913,0.543,0.972,0.8966666666666667,1.0,1.9073486328125e-06,1.9073486328125e-06,8730,960,False,[],0,True
7D9BB102-A612-4E2A-8E22-3159752F55D8,composite,6,6,1,6,0.0306863759495479,0.0471923104936893,-0.0165059345441414,0.416,0.996,0.416,1.0,1.9073486328125e-06,1.9073486328125e-06,1600,22,False,"[2, 3]",2,True
7D9BB102-A612-4E2A-8E22-3159752F55D8,composite,6,6,2,6,0.0279243113005982,0.0509624453376594,-0.0230381340370611,0.753,0.976,0.8966666666666667,1.0,1.9073486328125e-06,1.9073486328125e-06,1600,22,False,"[2, 3]",2,True
96A358A0-FFF2-4239-B93E-C7425B901B47,composite,5,5,1,6,0.0146206322129829,0.027007517668427,-0.012386885455444,0.01,0.906,0.02,1.0,1.9073486328125e-06,1.9073486328125e-06,5811,575,False,[],0,True
96A358A0-FFF2-4239-B93E-C7425B901B47,composite,5,5,2,6,0.0110215594676654,0.0266240400456883,-0.0156024805780228,0.755,0.94,0.8966666666666667,1.0,1.9073486328125e-06,1.9073486328125e-06,5811,575,False,[],0,True
A7599A50-24AE-46A6-8EA6-2576F1011D81,composite,6,6,1,6,0.015651922502551,0.0704175164967312,-0.0547655939941801,0.008,1.0,0.02,1.0,1.9073486328125e-06,1.9073486328125e-06,3898,211,False,[],0,True
A7599A50-24AE-46A6-8EA6-2576F1011D81,composite,6,6,2,6,0.0106549305704912,0.0719358521951245,-0.0612809216246333,0.695,0.998,0.8966666666666667,1.0,1.9073486328125e-06,1.9073486328125e-06,3898,211,False,[],0,True
BEF6C611-50DA-4971-A040-87FB979F3FC1,composite,6,6,1,6,0.024472028254102,0.0565077099068207,-0.0320356816527186,0.003,1.0,0.01,1.0,1.9073486328125e-06,1.9073486328125e-06,3450,0,False,[2],1,True
BEF6C611-50DA-4971-A040-87FB979F3FC1,composite,6,6,2,6,0.020651782289274,0.0583374348612993,-0.0376856525720252,0.1613,0.999,0.8966666666666667,1.0,1.9073486328125e-06,1.9073486328125e-06,3450,0,False,[2],1,True
D7D20E2E-FC78-405D-B346-DBD3FD8FC92B,composite,6,6,1,6,0.0134365575350117,0.0682225217946247,-0.054785964259613,0.1661,0.0335,0.2288888888888888,0.335,1.9073486328125e-06,1.9073486328125e-06,6210,536,False,[],0,True
D7D20E2E-FC78-405D-B346-DBD3FD8FC92B,composite,6,6,2,6,0.0110508031265503,0.0661757612625797,-0.0551249581360293,0.8,0.107,0.8966666666666667,1.0,1.9073486328125e-06,1.9073486328125e-06,6210,536,False,[],0,True
0A986513-7828-4D53-AA1F-E02D6DF9561B,composite,6,6,1,6,0.0174387845525707,0.0444476076595054,-0.0270088231069346,0.001,1.0,0.0025,1.0,1.9073486328125e-06,1.9073486328125e-06,3960,539,False,[],0,True
0A986513-7828-4D53-AA1F-E02D6DF9561B,composite,6,6,2,6,0.0100921740433338,0.045279994030505,-0.0351878199871712,0.898,1.0,0.955,1.0,1.9073486328125e-06,1.9073486328125e-06,3960,539,False,[],0,True
1538C99F-BA1E-4EFB-A949-6C7C47701B20,composite,6,6,1,6,0.0114902760351796,0.0609748781193777,-0.0494846020841981,0.002,1.0,0.004,1.0,1.9073486328125e-06,1.9073486328125e-06,6549,940,False,[],0,True
1538C99F-BA1E-4EFB-A949-6C7C47701B20,composite,6,6,2,6,0.0077623649122771,0.0597429087842411,-0.051980543871964,0.314,0.999,0.4485714285714286,1.0,1.9073486328125e-06,1.9073486328125e-06,6549,940,False,[],0,True
3600D531-0C55-44A7-AE95-A7A38519464E,composite,6,6,1,6,0.0061677180442502,0.0737794839381745,-0.0676117658939242,0.945,0.984,0.945,1.0,1.9073486328125e-06,1.9073486328125e-06,5203,575,False,[],0,True
